classe,f_centro_gravidade,f_fluxo_spectral,f_media
2,1744.9251714877148,0.48832765612038426,0.04751690141435724
2,1794.1764011260948,3.9669450469408365,0.053057043888567045
2,1808.5647238740778,10.632117097705896,0.05977198315004904
2,1787.3108288918536,5.098250510705393,0.05034547754810891
2,1746.282902634916,4.9360920728507685,0.05239056977177949
2,1786.192982440202,1.453104534380802,0.09430668222433317
2,1695.0637510867214,1.2701880453280698,0.04709184300301759
2,1794.3790783342208,0.8902054798751549,0.06945239021858915
2,1746.2656991567453,3.5425890659549877,0.05658452195748342
2,1767.6323937616444,0.7652723418381804,0.07698252708069064
0,1426.8212678448856,0.806826557820352,0.09486354733469089
0,1248.012891392249,1.5869558168064695,0.03865296125908545
0,1381.9696268509065,2.060081476330873,0.13257054584782638
0,1277.9450689618552,1.283669138230815,0.09931606946628323
0,1223.642437206458,5.203798236320359,0.13467168556472342
0,1147.1255377979785,2.522819569101935,0.10808373291945819
0,1427.9106266494657,0.34602287062716236,0.08566974520474413
0,1385.8956181819228,1.6953990900280436,0.1297657176396528
0,1226.3836580730112,1.915528552059876,0.09051092686172545
0,1240.6851068247497,1.6815273263998454,0.042276138160590115
1,1763.0783950622892,105.10632839865754,0.28104100762780804
1,1534.2954670853987,34.1585981851884,0.05550239114667007
1,1623.3196213637561,66.97761726138135,0.14906518848086725
1,1571.4721873504348,99.79355621963673,0.10069814196857144
1,1585.1023500517692,112.79786952153925,0.12216221137289485
1,1565.378912812567,81.86169067574106,0.12316056440925063
1,1721.87965649668,141.5779140280883,0.11487442013636981
1,1695.5571593449401,14.795290948746166,0.09796893290317833
1,1712.3457292501748,48.40831155301972,0.06577482653545524
1,1618.2635440196154,22.720785460876254,0.10407152866863245
